seed	variant_score	baseline_score	delta_variant_minus_baseline
1487	174.227441820357	174.227441820357	+0.000000000000
1485	80.175476192967	80.175476192967	+0.000000000000
1481	80.772203828317	80.772203828317	+0.000000000000
1476	77.942142811277	77.942142811277	+0.000000000000
1473	172.891638973075	172.891638973075	+0.000000000000
1470	46.738352193301	46.738352193301	+0.000000000000
1467	318.834956157665	318.834956157665	+0.000000000000
1458	80.252879830496	80.252879830496	+0.000000000000
1456	143.110197483679	143.110197483679	+0.000000000000
1443	299.351707358030	299.351707358030	+0.000000000000
1440	76.256029755168	76.256029755168	+0.000000000000
1438	271.776137593261	271.776137593261	+0.000000000000
1437	193.783380977943	193.783380977943	+0.000000000000
1433	238.245281244219	238.245281244219	+0.000000000000
1424	70.650294810637	70.650294810637	+0.000000000000
1414	121.310766243191	121.310766243191	+0.000000000000
1413	66.176741135897	66.176741135897	+0.000000000000
1410	342.287755356982	342.287755356982	+0.000000000000
1406	364.738205364444	364.738205364444	+0.000000000000
1405	347.599210538101	347.599210538101	+0.000000000000
1398	112.879694470366	112.879694470366	+0.000000000000
1395	51.036408281179	51.036408281179	+0.000000000000
1394	379.669840279138	379.669840279138	+0.000000000000
1388	101.856687338375	101.856687338375	+0.000000000000
1387	219.507776357494	219.507776357494	+0.000000000000
1384	70.193749862893	70.193749862893	+0.000000000000
1376	216.310929821768	216.310929821768	+0.000000000000
1373	34.972643539160	34.972643539160	+0.000000000000
1372	199.892635395495	199.892635395495	+0.000000000000
1371	260.140744733171	260.140744733171	+0.000000000000
1369	52.619119232565	52.619119232565	+0.000000000000
1366	360.207718499526	360.207718499526	+0.000000000000
1358	120.284024671403	120.284024671403	+0.000000000000
1355	114.695372088823	114.695372088823	+0.000000000000
1349	61.862817063843	61.862817063843	+0.000000000000
1348	201.544893704787	201.544893704787	+0.000000000000
1347	59.583253543932	59.583253543932	+0.000000000000
1340	214.646382798535	214.646382798535	+0.000000000000
1339	59.188384356461	59.188384356461	+0.000000000000
1336	209.175731850881	209.175731850881	+0.000000000000
1328	365.375984321759	365.375984321759	+0.000000000000
1327	364.491681414231	364.491681414231	+0.000000000000
1323	243.209044768540	243.209044768540	+0.000000000000
1322	51.633230632703	51.633230632703	+0.000000000000
1321	203.668874309441	203.668874309441	+0.000000000000
1320	142.281081217842	142.281081217842	+0.000000000000
1319	341.886136728950	341.886136728950	+0.000000000000
1317	295.736846788935	295.736846788935	+0.000000000000
1312	81.342327109915	81.342327109915	+0.000000000000
1309	101.863976370920	101.863976370920	+0.000000000000
1304	208.669272522836	208.669272522836	+0.000000000000
1303	185.017886083825	185.017886083825	+0.000000000000
1301	180.455279084590	180.455279084590	+0.000000000000
1297	146.783950342202	146.783950342202	+0.000000000000
1293	123.809271083992	123.809271083992	+0.000000000000
1287	206.560604120209	206.560604120209	+0.000000000000
1285	69.474369607531	69.474369607531	+0.000000000000
1283	160.978162234854	160.978162234854	+0.000000000000
1279	230.083510204515	230.083510204515	+0.000000000000
1274	222.293983681908	222.293983681908	+0.000000000000
1273	81.827181751869	81.827181751869	+0.000000000000
1265	119.469586281562	119.469586281562	+0.000000000000
1258	58.910799548042	58.910799548042	+0.000000000000
1251	87.100988580191	87.100988580191	+0.000000000000
1228	164.678463162916	164.678463162916	+0.000000000000
1225	205.605934916929	205.605934916929	+0.000000000000
